treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
1,19,9,0,0,0,1,0.0,0.0,13188.830078125,361
1,21,12,1,0,0,0,0.0,0.0,9983.7841796875,441
1,25,12,1,0,0,0,14426.7900390625,2409.27392578125,0.0,625
0,21,7,1,0,0,1,33799.94921875,0.0,11011.5703125,441
0,22,10,0,0,0,1,27864.359375,10598.669921875,7094.919921875,484
0,24,10,1,0,0,1,0.0,0.0,7618.63916015625,576
0,19,6,0,1,0,1,0.0,0.0,5071.80078125,361
1,32,11,1,0,0,1,0.0,0.0,8472.158203125,1024
0,27,11,1,0,0,1,0.0,0.0,11197.33984375,729
1,33,8,1,0,0,1,0.0,0.0,289.789886474609,1089
1,23,12,0,1,0,0,9385.740234375,1117.43896484375,559.443176269531,529
0,19,11,1,0,0,1,0.0,0.0,0.0,361
0,29,8,1,0,0,1,0.0,0.0,0.0,841
1,23,12,1,0,0,0,0.0,0.0,4843.17578125,529
1,20,12,1,0,0,0,0.0,0.0,0.0,400
0,27,10,1,0,0,1,0.0,0.0,1184.88195800781,729
0,39,12,1,0,1,0,19785.3203125,6608.13720703125,499.257202148438,1521
0,20,12,1,0,0,0,7182.4921875,6004.72802734375,4779.72021484375,400
0,29,12,1,0,0,0,22859.439453125,2080.208984375,16969.94921875,841
1,23,10,1,0,1,1,0.0,936.438598632813,11233.259765625,529
1,42,14,1,0,1,0,0.0,0.0,13167.51953125,1764
1,22,11,1,0,0,1,0.0,0.0,6456.69677734375,484
0,17,9,0,1,0,1,0.0,0.0,5114.81396484375,289
0,26,10,1,0,0,1,0.0,0.0,2169.02709960938,676
1,27,12,1,0,1,0,3670.8720703125,334.049285888672,0.0,729
1,19,10,1,0,0,1,0.0,385.274108886719,8124.71484375,361
0,25,12,1,0,1,0,0.0,0.0,0.0,625
1,22,10,1,0,1,1,1468.34802246094,5588.6640625,13228.2802734375,484
0,20,8,1,0,0,1,0.0,0.0,0.0,400
1,29,14,1,0,0,0,0.0,679.673400878906,17814.98046875,841
0,24,11,1,0,0,1,0.0,0.0,14626.3896484375,576
0,25,10,1,0,1,1,0.0,0.0,0.0,625
1,22,12,0,0,0,0,6759.994140625,8455.50390625,12590.7099609375,484
1,35,8,1,0,1,1,13732.0703125,17976.150390625,3786.6279296875,1225
0,18,9,1,0,0,1,0.0,0.0,10877.349609375,324
1,18,8,0,1,1,1,0.0,0.0,2787.9599609375,324
0,34,11,1,0,0,1,0.0,0.0,2920.19897460938,1156
0,18,10,1,0,0,1,0.0,273.552490234375,5514.365234375,324
1,46,8,1,0,0,1,3165.65795898438,2594.72290039063,0.0,2116
0,28,11,1,0,1,1,8593.1630859375,5393.89501953125,4974.5859375,784
0,21,10,1,0,0,1,6661.06298828125,1162.36206054688,39483.53125,441
1,29,11,1,0,1,1,0.0,0.0,9642.9990234375,841
0,29,13,1,0,0,0,718.2492065429691,2265.5791015625,2725.32202148438,841
1,27,13,1,0,0,0,0.0,0.0,34099.28125,729
0,22,10,1,0,0,1,0.0,0.0,0.0,484
0,27,10,1,0,0,1,0.0,0.0,1135.46997070313,729
0,24,7,1,0,0,1,0.0,0.0,2193.52807617188,576
0,44,9,1,0,0,1,0.0,0.0,9722.0029296875,1936
0,33,5,0,1,0,1,0.0,0.0,0.0,1089
1,33,12,0,0,1,0,0.0,0.0,12418.0703125,1089
